country,year,gdpPercap,lifeExp,pop,continent
New Zealand,1801,1099.73739,34.05,193187.0,Oceania
Oman,1801,471.41315,32.3,300875.0,Asia
Pakistan,1801,1248.64389,25.8,13145712.0,Asia
Panama,1801,1067.34631,32.9,76150.0,Americas
Peru,1801,1339.45436,35.7,1273261.0,Americas
Philippines,1801,1243.3021,30.9,2436516.0,Asia
Papua New Guinea,1801,729.15462,31.5,754894.0,Other
Poland,1801,1175.58917,35.9,9066429.0,Europe
North Korea,1801,1026.11465,26.0,4345000.0,Other
Portugal,1801,1857.60819,35.6,2775058.0,Europe
Paraguay,1801,1042.51004,35.5,289089.0,Americas
Palestine,1801,1140.88531,32.1,165944.0,Other
Qatar,1801,1470.32827,30.8,14092.0,Other
Romania,1801,888.07293,35.7,5541358.0,Europe
Russia,1801,1869.62722,29.57,31295641.0,Other
Rwanda,1801,578.958,25.0,928368.0,Africa
Saudi Arabia,1801,1049.26746,32.1,2004454.0,Asia
Sudan,1801,658.37587,31.4,3999435.0,Africa
Senegal,1801,664.25395,25.2,1009886.0,Africa
Singapore,1801,1081.52158,29.1,30000.0,Asia
Solomon Islands,1801,484.76763,25.1,56998.0,Other
Sierra Leone,1801,967.34945,25.1,794264.0,Africa
El Salvador,1801,1161.83977,28.7,238098.0,Americas
Somalia,1801,926.80092,29.4,989372.0,Africa
Serbia,1801,1722.72794,35.5,2147197.0,Europe
South Sudan,1801,678.12715,26.67,1028736.0,Other
Sao Tome and Principe,1801,1037.16875,31.0,22731.0,Africa
Suriname,1801,2186.1284,32.9,80721.0,Other
Slovak Republic,1801,1671.16902,36.4,2140651.0,Europe
Slovenia,1801,2058.50844,36.6,469664.0,Europe
Sweden,1801,1806.86117,36.9,2489400.0,Europe
Eswatini,1801,619.64788,32.3,85550.0,Other
Seychelles,1801,1058.08088,37.0,12522.0,Other
Syria,1801,1444.75338,31.1,1254212.0,Asia
Chad,1801,484.76763,30.9,1438365.0,Africa
Togo,1801,878.72479,31.3,445985.0,Africa
Thailand,1801,1213.92225,30.4,3066958.0,Asia
Tajikistan,1801,744.60012,24.24,466629.0,Other
Turkmenistan,1801,1263.42646,24.0,367215.0,Other
Timor-Leste,1801,697.10386,28.95,137262.0,Other
Tonga,1801,885.40203,28.2,18654.0,Other
Trinidad and Tobago,1801,1645.91292,32.9,21129.0,Americas
Tunisia,1801,910.95968,28.8,803593.0,Africa
Turkey,1801,1281.37672,35.0,9776186.0,Europe
Tanzania,1801,569.75434,32.2,3000985.0,Africa
Uganda,1801,707.66604,25.3,2478383.0,Africa
Ukraine,1801,1020.79839,36.6,11215490.0,Other
Uruguay,1801,2463.89022,32.9,55000.0,Americas
USA,1801,3461.48126,39.41,6113782.0,Other
Uzbekistan,1801,714.46469,26.93,1919159.0,Other
St. Vincent and the Grenadines,1801,1119.10544,25.99,25781.0,Other
Venezuela,1801,1425.57638,32.2,978177.0,Americas
Vietnam,1801,1121.77633,32.0,4099892.0,Asia
Vanuatu,1801,782.57254,24.3,27791.0,Other
Samoa,1801,1869.62722,25.4,47292.0,Other
Yemen,1801,1180.36218,23.39,2593000.0,Other
South Africa,1801,2019.154,33.5,1453209.0,Africa
Zambia,1801,623.62455,32.6,758402.0,Africa
Zimbabwe,1801,1073.27425,33.7,1085814.0,Africa
Afghanistan,1802,560.88817,28.19,3280000.0,Asia
Angola,1802,438.75389,26.98,1567028.0,Africa
Albania,1802,550.67868,35.4,403554.0,Europe
UAE,1802,1342.12526,30.7,40153.0,Other
Argentina,1802,1995.65064,33.2,505520.0,Americas
Armenia,1802,689.97218,34.0,413326.0,Other
Antigua and Barbuda,1802,1010.93415,33.54,37000.0,Other
Australia,1802,968.27219,34.05,210524.0,Oceania
Austria,1802,2285.27403,34.4,3035004.0,Europe
Azerbaijan,1802,845.58821,29.17,879960.0,Other
Burundi,1802,621.14528,31.5,899097.0,Africa
Belgium,1802,3107.44991,40.02,3267947.0,Europe
Benin,1802,974.56501,31.0,636559.0,Africa
Burkina Faso,1802,697.9065,29.2,1665421.0,Africa
Bangladesh,1802,900.12777,25.5,19267002.0,Asia
Bulgaria,1802,1333.77505,35.89,2243619.0,Europe
Bahrain,1802,1000.24601,30.3,64474.0,Asia
Bahamas,1802,1929.72238,35.18,27350.0,Other
Bosnia and Herzegovina,1802,1153.46113,35.1,851806.0,Europe
Belarus,1802,1068.21686,36.2,2355081.0,Other
Belize,1802,773.2244,26.5,25526.0,Other
Bolivia,1802,1080.25565,33.0,906297.0,Americas
Brazil,1802,1157.83343,32.0,2651763.0,Americas
Barbados,1802,1525.74936,32.12,81729.0,Other
Brunei,1802,2019.1974,29.2,2258.0,Other
Bhutan,1802,841.33225,28.8,392287.0,Other
Botswana,1802,420.48921,33.6,120083.0,Africa
Central African Republic,1802,570.59565,30.0,479444.0,Africa
Canada,1802,1672.82757,39.0,525100.0,Americas
Switzerland,1802,2562.53794,38.0,1772279.0,Europe
Chile,1802,1139.13716,32.0,771447.0,Americas
China,1802,1229.87432,32.0,333085172.0,Asia
Cote d'Ivoire,1802,681.07849,31.16,1088530.0,Africa
Cameroon,1802,697.9065,28.75,1860054.0,Africa
"Congo, Dem. Rep.",1802,413.98888,31.6,5163819.0,Africa
"Congo, Rep.",1802,673.95977,32.7,314465.0,Africa
Colombia,1802,1245.12999,32.0,1206000.0,Americas
Comoros,1802,691.30887,32.1,56346.0,Africa
Cape Verde,1802,574.24265,33.8,55716.0,Other
Costa Rica,1802,1067.54704,30.21,53924.0,Americas
Cuba,1802,840.24829,32.45,315598.0,Americas
Cyprus,1802,1139.13716,38.5,184432.0,Other
Czech Republic,1802,1907.59064,34.95,5516349.0,Europe
Germany,1802,2399.80008,38.37,18594046.0,Europe
Djibouti,1802,1096.52594,29.9,22848.0,Africa
Denmark,1802,2393.41059,44.37,1014514.0,Europe
Dominican Republic,1802,761.20537,29.9,142371.0,Americas
Algeria,1802,892.37907,28.82,2518286.0,Africa
Ecuador,1802,610.81174,32.9,500000.0,Americas
Egypt,1802,1273.49459,33.0,3563888.0,Africa
Eritrea,1802,710.45834,30.2,205010.0,Africa
Spain,1802,1786.82945,29.5,11568438.0,Europe
Estonia,1802,1863.17182,35.26,334136.0,Other
Ethiopia,1802,835.44087,29.7,12032589.0,Africa
Finland,1802,1632.78191,39.2,830926.0,Europe
Fiji,1802,1048.32669,26.1,130991.0,Other
France,1802,2114.01421,34.38,29217510.0,Europe
"Micronesia, Fed. Sts.",1802,691.76207,26.7,16416.0,Other
Gabon,1802,585.33417,30.6,158227.0,Africa
UK,1802,4487.10533,38.62,10983623.0,Other
Georgia,1802,908.09192,31.87,1072178.0,Other
Ghana,1802,886.48311,28.0,2016034.0,Africa
Guinea,1802,507.47025,29.52,983959.0,Africa
Gambia,1802,929.05805,28.8,103274.0,Africa
Guinea-Bissau,1802,573.48516,32.0,218167.0,Africa
Equatorial Guinea,1802,425.97947,29.8,80377.0,Africa
Greece,1802,1522.27748,36.6,2256124.0,Europe
Grenada,1802,1280.69465,31.4,29409.0,Other
Guatemala,1802,1195.16133,25.8,475104.0,Americas
Guyana,1802,1621.23389,31.12,166034.0,Other
Honduras,1802,861.36397,33.9,130492.0,Americas
Croatia,1802,1069.46974,36.1,1227886.0,Europe
Haiti,1802,846.67404,29.0,518784.0,Americas
Hungary,1802,1468.99282,36.0,3330105.0,Europe
Indonesia,1802,1192.72296,30.0,16192985.0,Asia
India,1802,1372.6905,25.0,201525446.0,Asia
Ireland,1802,1555.62164,38.3,5410972.0,Europe
Iran,1802,1171.18791,25.6,6053778.0,Asia
Iraq,1802,1168.75238,31.2,1008932.0,Asia
Iceland,1802,1210.08878,27.62,61428.0,Europe
Israel,1802,1258.73621,32.0,209954.0,Asia
Italy,1802,3353.30997,29.69,19114447.0,Europe
Jamaica,1802,1491.69543,34.2,308833.0,Americas
Jordan,1802,1171.18791,31.7,201638.0,Asia
Japan,1802,1758.78504,36.4,28286447.0,Asia
Kazakhstan,1802,1374.75652,26.2,2041282.0,Other
Kenya,1802,860.02852,25.5,2601363.0,Africa
Kyrgyz Republic,1802,688.22598,23.94,530343.0,Other
Cambodia,1802,836.57896,35.0,2090000.0,Asia
Kiribati,1802,737.1673,24.9,17876.0,Other
South Korea,1802,1089.72558,25.8,9395000.0,Other
Kuwait,1802,1475.67006,26.0,81280.0,Asia
Lao,1802,991.56193,31.9,470000.0,Other
Lebanon,1802,1425.10997,29.7,303056.0,Asia
Liberia,1802,1075.59316,31.1,313543.0,Africa
Libya,1802,1201.90321,33.1,230325.0,Africa
St. Lucia,1802,754.29703,28.01,24000.0,Other
Sri Lanka,1802,1171.18791,32.6,1687020.0,Asia
Lesotho,1802,512.81204,32.8,276361.0,Africa
Lithuania,1802,1613.25125,28.9,778655.0,Other
Luxembourg,1802,2104.82048,36.9,127030.0,Other
Latvia,1802,1137.06492,33.0,590588.0,Other
Morocco,1802,930.39694,33.1,2518286.0,Africa
Moldova,1802,861.36397,33.15,712558.0,Other
Madagascar,1802,603.88389,30.5,1517367.0,Africa
Maldives,1802,1125.78268,32.65,42378.0,Other
Mexico,1802,1701.36077,26.9,5232171.0,Americas
North Macedonia,1802,835.57028,36.1,391865.0,Other
Mali,1802,814.62329,26.41,1403398.0,Africa
Malta,1802,1035.10769,28.7,134072.0,Other
Myanmar,1802,1072.36476,30.8,5686137.0,Asia
Montenegro,1802,1396.35036,35.4,126582.0,Europe
Mongolia,1802,574.24265,31.8,601873.0,Asia
Mozambique,1802,481.97889,30.28,2009399.0,Africa
Mauritania,1802,627.66057,32.0,382696.0,Africa
Mauritius,1802,1382.1887,28.7,62388.0,Africa
Malawi,1802,559.57153,30.3,769309.0,Africa
Malaysia,1802,1283.36554,30.6,287000.0,Asia
Namibia,1802,699.84459,32.4,222971.0,Africa
Niger,1802,613.07272,30.8,852737.0,Africa
Nigeria,1802,1107.08641,30.4,12100860.0,Africa
Nicaragua,1802,1299.39092,25.4,186000.0,Americas
Netherlands,1802,5793.17349,39.86,2009313.0,Europe
Norway,1802,1796.64453,38.37,896980.0,Europe
Nepal,1802,856.02218,32.8,3987938.0,Asia
New Zealand,1802,1099.73739,34.05,186607.0,Oceania
Oman,1802,471.41315,32.3,301753.0,Asia
Pakistan,1802,1248.64389,25.8,13171633.0,Asia
Panama,1802,1067.34631,32.9,76703.0,Americas
Peru,1802,1340.78981,35.7,1275527.0,Americas
Philippines,1802,1243.3021,30.9,2374643.0,Asia
Papua New Guinea,1802,729.15462,31.5,754894.0,Other
Poland,1802,1147.30167,35.9,9133349.0,Europe
North Korea,1802,1022.01019,26.0,4345000.0,Other
Portugal,1802,1888.32349,35.6,2800344.0,Europe
Paraguay,1802,1042.51004,35.5,278575.0,Americas
Palestine,1802,1146.66897,32.1,165944.0,Other
Qatar,1802,1475.67006,30.8,14092.0,Other
Romania,1802,888.07293,35.7,5583027.0,Europe
